date,description,amount,type
2026-01-26,UBER TRIP 8822,-350,debit
2026-01-27,GYM MEMBERSHIP,-2200,debit
2026-01-27,TRANSFER TO SAVINGS,-5000,debit
2026-01-28,AMAZON INDIA ORDER 7741,-2540,debit
2026-01-28,SWIGGY ORDER 11223,-390,debit
2026-01-29,OLA CAB 5541,-210,debit
2026-01-29,DOMINOS PIZZA,-850,debit
2026-01-29,INTEREST CREDIT SAVINGS,580,credit
2026-01-30,ZOMATO ORDER 4412,-460,debit
2026-01-30,MOBILE RECHARGE,-699,debit
2026-01-30,PHARMACY STORE,-540,debit
2026-01-31,SALARY CREDIT ACME CORP,85000,credit
2026-01-31,RENT PAYMENT APT 4B,-25000,debit
2026-01-31,TRANSFER TO SAVINGS,-8000,debit
2026-02-01,ELECTRICITY BILL PAY,-3100,debit
2026-02-01,SWIGGY ORDER 22341,-570,debit
2026-02-02,UBER TRIP ID 6612,-290,debit
2026-02-02,AMAZON INDIA ORDER 33451,-1890,debit
2026-02-03,ZOMATO ORDER 7712,-510,debit
2026-02-03,OLA CAB 33421,-195,debit
2026-02-04,NETFLIX SUBSCRIPTION,-799,debit
2026-02-04,SPOTIFY PREMIUM,-119,debit
2026-02-05,BIG BAZAAR GROCERY,-3100,debit
2026-02-05,GYM MEMBERSHIP,-2200,debit
2026-02-06,FLIPKART ORDER 55671,-2299,debit
2026-02-06,WATER BILL ONLINE,-820,debit
2026-02-07,STARBUCKS COFFEE,-390,debit
2026-02-07,APOLLO PHARMACY,-780,debit
2026-02-08,AMAZON PAY BILL,-1600,debit
2026-02-08,BOOKMYSHOW MOVIE,-480,debit
2026-02-09,SWIGGY INSTAMART,-1450,debit
2026-02-09,UBER TRIP 4421,-330,debit
2026-02-10,INTEREST CREDIT SAVINGS,620,credit
2026-02-10,MOBILE RECHARGE,-699,debit
2026-02-11,TRANSFER FROM FRIEND,5000,credit
2026-02-11,ZOMATO ORDER 8834,-620,debit
2026-02-12,OLA AUTO 9981,-165,debit
2026-02-12,DOMINOS PIZZA,-720,debit
2026-02-13,LIC INSURANCE PAYMENT,-4500,debit
2026-02-13,AMAZON INDIA ORDER 44512,-4100,debit
2026-02-14,SWIGGY ORDER 66123,-690,debit
2026-02-14,FLOWER SHOP VALENTINE,-1200,debit
2026-02-15,MEDPLUS PHARMACY,-960,debit
2026-02-15,UBER EATS ORDER,-710,debit
2026-02-16,INTEREST CREDIT FD,2100,credit
2026-02-16,TRANSFER TO WALLET,-1500,debit
2026-02-17,FLIPKART GROCERY,-1980,debit
2026-02-17,OLA BIKE 7723,-130,debit
2026-02-18,AMAZON PRIME SUB,-1499,debit
2026-02-18,HOSPITAL CONSULTATION,-2200,debit
2026-02-19,ZOMATO ORDER 9943,-480,debit
2026-02-19,GROCERY STORE LOCAL,-1900,debit
2026-02-20,TRANSFER FROM CLIENT,15000,credit
2026-02-20,AMAZON INDIA ORDER 55671,-3200,debit
2026-02-21,SWIGGY ORDER 77234,-540,debit
2026-02-21,OLA CAB 44512,-240,debit
2026-02-22,MEDICAL STORE,-890,debit
2026-02-22,BOOK STORE,-1200,debit
2026-02-23,NETFLIX SUBSCRIPTION,-799,debit
2026-02-23,UBER TRIP 3312,-280,debit
2026-02-24,GYM MEMBERSHIP,-2200,debit
2026-02-24,TRANSFER TO SAVINGS,-7000,debit
2026-02-25,ZOMATO ORDER 1123,-530,debit
2026-02-25,SPOTIFY PREMIUM,-119,debit
2026-02-26,AMAZON INDIA ORDER 66781,-2750,debit
2026-02-26,SWIGGY ORDER 88345,-610,debit
2026-02-27,OLA CAB 55621,-185,debit
2026-02-27,DOMINOS PIZZA,-800,debit
2026-02-28,SALARY CREDIT ACME CORP,85000,credit
2026-02-28,RENT PAYMENT APT 4B,-25000,debit
2026-02-28,INTEREST CREDIT SAVINGS,620,credit
2026-03-01,ELECTRICITY BILL PAY,-3250,debit
2026-03-01,SWIGGY ORDER 99456,-590,debit
2026-03-02,UBER TRIP ID 8823,-310,debit
2026-03-02,AMAZON INDIA ORDER 77891,-2100,debit
2026-03-03,ZOMATO ORDER 2234,-470,debit
2026-03-03,OLA CAB 66731,-205,debit
2026-03-04,NETFLIX SUBSCRIPTION,-799,debit
2026-03-04,SPOTIFY PREMIUM,-119,debit
2026-03-05,BIG BAZAAR GROCERY,-2950,debit
2026-03-05,GYM MEMBERSHIP,-2200,debit
2026-03-06,FLIPKART ORDER 88901,-3100,debit
2026-03-06,WATER BILL ONLINE,-870,debit
2026-03-07,STARBUCKS COFFEE,-440,debit
2026-03-07,APOLLO PHARMACY,-1100,debit
2026-03-08,AMAZON PAY BILL,-1350,debit
2026-03-08,TRANSFER FROM FRIEND,4000,credit
2026-03-09,SWIGGY INSTAMART,-1600,debit
2026-03-09,UBER TRIP 5532,-295,debit
2026-03-10,INTEREST CREDIT SAVINGS,620,credit
2026-03-10,MOBILE RECHARGE,-699,debit
2026-03-11,BOOKMYSHOW MOVIE,-640,debit
2026-03-11,ZOMATO ORDER 3345,-550,debit
2026-03-12,OLA AUTO 1123,-175,debit
2026-03-12,DOMINOS PIZZA,-790,debit
2026-03-13,LIC INSURANCE PAYMENT,-4500,debit
2026-03-13,AMAZON INDIA ORDER 88912,-3800,debit
2026-03-14,SWIGGY ORDER 11234,-660,debit
2026-03-14,MEDPLUS PHARMACY,-1050,debit
2026-03-15,SALARY BONUS ACME CORP,10000,credit
2026-03-15,UBER EATS ORDER,-730,debit
2026-03-16,INTEREST CREDIT FD,2100,credit
2026-03-16,TRANSFER TO WALLET,-2500,debit
2026-03-17,FLIPKART GROCERY,-2200,debit
2026-03-17,OLA BIKE 8834,-150,debit
2026-03-18,AMAZON PRIME SUB,-1499,debit
2026-03-18,HOSPITAL CONSULTATION,-1600,debit
2026-03-19,ZOMATO ORDER 4456,-500,debit
2026-03-19,GROCERY STORE LOCAL,-2100,debit
2026-03-20,TRANSFER FROM CLIENT,18000,credit
2026-03-20,AMAZON INDIA ORDER 99023,-4200,debit
2026-03-21,SWIGGY ORDER 22345,-580,debit
2026-03-21,OLA CAB 77831,-230,debit
2026-03-22,MEDICAL STORE,-820,debit
2026-03-22,BOOK STORE,-750,debit
2026-03-23,NETFLIX SUBSCRIPTION,-799,debit
2026-03-23,UBER TRIP 6643,-320,debit
2026-03-24,GYM MEMBERSHIP,-2200,debit
2026-03-24,TRANSFER TO SAVINGS,-9000,debit
2026-03-25,ZOMATO ORDER 5567,-610,debit
2026-03-25,SPOTIFY PREMIUM,-119,debit
2026-03-26,AMAZON INDIA ORDER 10123,-3500,debit
2026-03-26,SWIGGY ORDER 33456,-630,debit
2026-03-27,OLA CAB 88931,-215,debit
2026-03-27,DOMINOS PIZZA,-870,debit
2026-03-28,SALARY CREDIT ACME CORP,85000,credit
2026-03-28,RENT PAYMENT APT 4B,-25000,debit
2026-03-29,INTEREST CREDIT SAVINGS,620,credit
2026-03-29,MOBILE RECHARGE,-699,debit
2026-03-30,WATER BILL ONLINE,-890,debit
2026-03-30,STARBUCKS COFFEE,-410,debit
2026-03-31,TRANSFER TO SAVINGS,-10000,debit
2026-03-31,APOLLO PHARMACY,-650,debit
